 
"State","IL"
"County","McHenry"
"Fast-food restaurants, 2011","198"
"Fast-food restaurants, 2016","231"
"Fast-food restaurants (% change), 2011-16","16.666667"
"Fast-food restaurants/1,000 pop, 2011","0.64205"
"Fast-food restaurants/1,000 pop, 2016","0.750068"
"Fast-food restaurants/1,000 pop (% change), 2011-16","16.823878"
"Full-service restaurants, 2011","212"
"Full-service restaurants, 2016","223"
"Full-service restaurants (% change), 2011-16","5.188679"
"Full-service restaurants/1,000 pop, 2011","0.687448"
"Full-service restaurants/1,000 pop, 2016","0.724092"
"Full-service restaurants/1,000 pop (% change), 2011-16","5.330424"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
