 
"State","IL"
"County","Menard"
"Fast-food restaurants, 2011","2"
"Fast-food restaurants, 2016","3"
"Fast-food restaurants (% change), 2011-16","50"
"Fast-food restaurants/1,000 pop, 2011","0.15753"
"Fast-food restaurants/1,000 pop, 2016","0.241955"
"Fast-food restaurants/1,000 pop (% change), 2011-16","53.593032"
"Full-service restaurants, 2011","10"
"Full-service restaurants, 2016","8"
"Full-service restaurants (% change), 2011-16","-20"
"Full-service restaurants/1,000 pop, 2011","0.78765"
"Full-service restaurants/1,000 pop, 2016","0.645213"
"Full-service restaurants/1,000 pop (% change), 2011-16","-18.083716"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
