 
"State","IL"
"County","Mercer"
"Fast-food restaurants, 2011","6"
"Fast-food restaurants, 2016","4"
"Fast-food restaurants (% change), 2011-16","-33.333333"
"Fast-food restaurants/1,000 pop, 2011","0.36776"
"Fast-food restaurants/1,000 pop, 2016","0.255918"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-30.411602"
"Full-service restaurants, 2011","14"
"Full-service restaurants, 2016","12"
"Full-service restaurants (% change), 2011-16","-14.285714"
"Full-service restaurants/1,000 pop, 2011","0.858106"
"Full-service restaurants/1,000 pop, 2016","0.767754"
"Full-service restaurants/1,000 pop (% change), 2011-16","-10.529202"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
