 
"State","IL"
"County","Monroe"
"Fast-food restaurants, 2011","17"
"Fast-food restaurants, 2016","20"
"Fast-food restaurants (% change), 2011-16","17.647059"
"Fast-food restaurants/1,000 pop, 2011","0.511771"
"Fast-food restaurants/1,000 pop, 2016","0.590354"
"Fast-food restaurants/1,000 pop (% change), 2011-16","15.355098"
"Full-service restaurants, 2011","29"
"Full-service restaurants, 2016","30"
"Full-service restaurants (% change), 2011-16","3.448276"
"Full-service restaurants/1,000 pop, 2011","0.873021"
"Full-service restaurants/1,000 pop, 2016","0.88553"
"Full-service restaurants/1,000 pop (% change), 2011-16","1.432931"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
