 
"State","IL"
"County","Montgomery"
"Fast-food restaurants, 2011","19"
"Fast-food restaurants, 2016","22"
"Fast-food restaurants (% change), 2011-16","15.789474"
"Fast-food restaurants/1,000 pop, 2011","0.636388"
"Fast-food restaurants/1,000 pop, 2016","0.75656"
"Fast-food restaurants/1,000 pop (% change), 2011-16","18.883405"
"Full-service restaurants, 2011","21"
"Full-service restaurants, 2016","25"
"Full-service restaurants (% change), 2011-16","19.047619"
"Full-service restaurants/1,000 pop, 2011","0.703376"
"Full-service restaurants/1,000 pop, 2016","0.859727"
"Full-service restaurants/1,000 pop (% change), 2011-16","22.228609"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
