 
"State","IL"
"County","Moultrie"
"Fast-food restaurants, 2011","3"
"Fast-food restaurants, 2016","3"
"Fast-food restaurants (% change), 2011-16","0"
"Fast-food restaurants/1,000 pop, 2011","0.202047"
"Fast-food restaurants/1,000 pop, 2016","0.205494"
"Fast-food restaurants/1,000 pop (% change), 2011-16","1.705596"
"Full-service restaurants, 2011","9"
"Full-service restaurants, 2016","10"
"Full-service restaurants (% change), 2011-16","11.111111"
"Full-service restaurants/1,000 pop, 2011","0.606142"
"Full-service restaurants/1,000 pop, 2016","0.684978"
"Full-service restaurants/1,000 pop (% change), 2011-16","13.006218"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
