 
"State","IL"
"County","Ogle"
"Fast-food restaurants, 2011","29"
"Fast-food restaurants, 2016","32"
"Fast-food restaurants (% change), 2011-16","10.344828"
"Fast-food restaurants/1,000 pop, 2011","0.5465"
"Fast-food restaurants/1,000 pop, 2016","0.625391"
"Fast-food restaurants/1,000 pop (% change), 2011-16","14.435746"
"Full-service restaurants, 2011","44"
"Full-service restaurants, 2016","39"
"Full-service restaurants (% change), 2011-16","-11.363636"
"Full-service restaurants/1,000 pop, 2011","0.829172"
"Full-service restaurants/1,000 pop, 2016","0.762195"
"Full-service restaurants/1,000 pop (% change), 2011-16","-8.077536"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
