 
"State","IL"
"County","Peoria"
"Fast-food restaurants, 2011","116"
"Fast-food restaurants, 2016","134"
"Fast-food restaurants (% change), 2011-16","15.517241"
"Fast-food restaurants/1,000 pop, 2011","0.621427"
"Fast-food restaurants/1,000 pop, 2016","0.723167"
"Fast-food restaurants/1,000 pop (% change), 2011-16","16.37195"
"Full-service restaurants, 2011","169"
"Full-service restaurants, 2016","149"
"Full-service restaurants (% change), 2011-16","-11.83432"
"Full-service restaurants/1,000 pop, 2011","0.905356"
"Full-service restaurants/1,000 pop, 2016","0.804119"
"Full-service restaurants/1,000 pop (% change), 2011-16","-11.181984"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
