 
"State","IL"
"County","Perry"
"Fast-food restaurants, 2011","5"
"Fast-food restaurants, 2016","11"
"Fast-food restaurants (% change), 2011-16","120"
"Fast-food restaurants/1,000 pop, 2011","0.224618"
"Fast-food restaurants/1,000 pop, 2016","0.514451"
"Fast-food restaurants/1,000 pop (% change), 2011-16","129.033767"
"Full-service restaurants, 2011","14"
"Full-service restaurants, 2016","18"
"Full-service restaurants (% change), 2011-16","28.571429"
"Full-service restaurants/1,000 pop, 2011","0.628931"
"Full-service restaurants/1,000 pop, 2016","0.84183"
"Full-service restaurants/1,000 pop (% change), 2011-16","33.850903"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
