 
"State","IL"
"County","Piatt"
"Fast-food restaurants, 2011","5"
"Fast-food restaurants, 2016","6"
"Fast-food restaurants (% change), 2011-16","20"
"Fast-food restaurants/1,000 pop, 2011","0.299778"
"Fast-food restaurants/1,000 pop, 2016","0.363064"
"Fast-food restaurants/1,000 pop (% change), 2011-16","21.110977"
"Full-service restaurants, 2011","11"
"Full-service restaurants, 2016","9"
"Full-service restaurants (% change), 2011-16","-18.181818"
"Full-service restaurants/1,000 pop, 2011","0.659512"
"Full-service restaurants/1,000 pop, 2016","0.544596"
"Full-service restaurants/1,000 pop (% change), 2011-16","-17.424334"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
