 
"State","IL"
"County","Pulaski"
"Fast-food restaurants, 2011","2"
"Fast-food restaurants, 2016","1"
"Fast-food restaurants (% change), 2011-16","-50"
"Fast-food restaurants/1,000 pop, 2011","0.334169"
"Fast-food restaurants/1,000 pop, 2016","0.178476"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-46.591112"
"Full-service restaurants, 2011","3"
"Full-service restaurants, 2016","2"
"Full-service restaurants (% change), 2011-16","-33.333333"
"Full-service restaurants/1,000 pop, 2011","0.501253"
"Full-service restaurants/1,000 pop, 2016","0.356952"
"Full-service restaurants/1,000 pop (% change), 2011-16","-28.788149"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
