 
"State","IL"
"County","Putnam"
"Fast-food restaurants, 2011","0"
"Fast-food restaurants, 2016","0"
"Fast-food restaurants (% change), 2011-16","0"
"Fast-food restaurants/1,000 pop, 2011","0"
"Fast-food restaurants/1,000 pop, 2016","0"
"Fast-food restaurants/1,000 pop (% change), 2011-16","0"
"Full-service restaurants, 2011","9"
"Full-service restaurants, 2016","11"
"Full-service restaurants (% change), 2011-16","22.222222"
"Full-service restaurants/1,000 pop, 2011","1.506276"
"Full-service restaurants/1,000 pop, 2016","1.924086"
"Full-service restaurants/1,000 pop (% change), 2011-16","27.737936"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
