 
"State","IL"
"County","Richland"
"Fast-food restaurants, 2011","14"
"Fast-food restaurants, 2016","13"
"Fast-food restaurants (% change), 2011-16","-7.142857"
"Fast-food restaurants/1,000 pop, 2011","0.864838"
"Fast-food restaurants/1,000 pop, 2016","0.819776"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-5.210529"
"Full-service restaurants, 2011","11"
"Full-service restaurants, 2016","8"
"Full-service restaurants (% change), 2011-16","-27.272727"
"Full-service restaurants/1,000 pop, 2011","0.679516"
"Full-service restaurants/1,000 pop, 2016","0.504477"
"Full-service restaurants/1,000 pop (% change), 2011-16","-25.759296"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
