 
"State","IL"
"County","Rock Island"
"Fast-food restaurants, 2011","109"
"Fast-food restaurants, 2016","111"
"Fast-food restaurants (% change), 2011-16","1.834862"
"Fast-food restaurants/1,000 pop, 2011","0.739525"
"Fast-food restaurants/1,000 pop, 2016","0.763033"
"Fast-food restaurants/1,000 pop (% change), 2011-16","3.178921"
"Full-service restaurants, 2011","114"
"Full-service restaurants, 2016","113"
"Full-service restaurants (% change), 2011-16","-0.877193"
"Full-service restaurants/1,000 pop, 2011","0.773448"
"Full-service restaurants/1,000 pop, 2016","0.776782"
"Full-service restaurants/1,000 pop (% change), 2011-16","0.431071"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
