 
"State","IL"
"County","Saline"
"Fast-food restaurants, 2011","17"
"Fast-food restaurants, 2016","20"
"Fast-food restaurants (% change), 2011-16","17.647059"
"Fast-food restaurants/1,000 pop, 2011","0.682676"
"Fast-food restaurants/1,000 pop, 2016","0.82464"
"Fast-food restaurants/1,000 pop (% change), 2011-16","20.795244"
"Full-service restaurants, 2011","17"
"Full-service restaurants, 2016","14"
"Full-service restaurants (% change), 2011-16","-17.647059"
"Full-service restaurants/1,000 pop, 2011","0.682676"
"Full-service restaurants/1,000 pop, 2016","0.577248"
"Full-service restaurants/1,000 pop (% change), 2011-16","-15.443329"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
