 
"State","IL"
"County","Sangamon"
"Fast-food restaurants, 2011","159"
"Fast-food restaurants, 2016","171"
"Fast-food restaurants (% change), 2011-16","7.54717"
"Fast-food restaurants/1,000 pop, 2011","0.799115"
"Fast-food restaurants/1,000 pop, 2016","0.865424"
"Fast-food restaurants/1,000 pop (% change), 2011-16","8.297748"
"Full-service restaurants, 2011","173"
"Full-service restaurants, 2016","178"
"Full-service restaurants (% change), 2011-16","2.890173"
"Full-service restaurants/1,000 pop, 2011","0.869478"
"Full-service restaurants/1,000 pop, 2016","0.900851"
"Full-service restaurants/1,000 pop (% change), 2011-16","3.60825"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
