 
"State","IL"
"County","Schuyler"
"Fast-food restaurants, 2011","3"
"Fast-food restaurants, 2016","3"
"Fast-food restaurants (% change), 2011-16","0"
"Fast-food restaurants/1,000 pop, 2011","0.402037"
"Fast-food restaurants/1,000 pop, 2016","0.425351"
"Fast-food restaurants/1,000 pop (% change), 2011-16","5.798951"
"Full-service restaurants, 2011","5"
"Full-service restaurants, 2016","4"
"Full-service restaurants (% change), 2011-16","-20"
"Full-service restaurants/1,000 pop, 2011","0.670062"
"Full-service restaurants/1,000 pop, 2016","0.567135"
"Full-service restaurants/1,000 pop (% change), 2011-16","-15.360839"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
