 
"State","IL"
"County","Scott"
"Fast-food restaurants, 2011","2"
"Fast-food restaurants, 2016","1"
"Fast-food restaurants (% change), 2011-16","-50"
"Fast-food restaurants/1,000 pop, 2011","0.382555"
"Fast-food restaurants/1,000 pop, 2016","0.197824"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-48.288823"
"Full-service restaurants, 2011","3"
"Full-service restaurants, 2016","4"
"Full-service restaurants (% change), 2011-16","33.333333"
"Full-service restaurants/1,000 pop, 2011","0.573833"
"Full-service restaurants/1,000 pop, 2016","0.791296"
"Full-service restaurants/1,000 pop (% change), 2011-16","37.896472"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
