 
"State","IL"
"County","Shelby"
"Fast-food restaurants, 2011","6"
"Fast-food restaurants, 2016","7"
"Fast-food restaurants (% change), 2011-16","16.666667"
"Fast-food restaurants/1,000 pop, 2011","0.269276"
"Fast-food restaurants/1,000 pop, 2016","0.32218"
"Fast-food restaurants/1,000 pop (% change), 2011-16","19.64683"
"Full-service restaurants, 2011","23"
"Full-service restaurants, 2016","16"
"Full-service restaurants (% change), 2011-16","-30.434783"
"Full-service restaurants/1,000 pop, 2011","1.032223"
"Full-service restaurants/1,000 pop, 2016","0.736411"
"Full-service restaurants/1,000 pop (% change), 2011-16","-28.657791"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
