 
"State","IL"
"County","St. Clair"
"Fast-food restaurants, 2011","169"
"Fast-food restaurants, 2016","196"
"Fast-food restaurants (% change), 2011-16","15.976331"
"Fast-food restaurants/1,000 pop, 2011","0.625982"
"Fast-food restaurants/1,000 pop, 2016","0.744907"
"Fast-food restaurants/1,000 pop (% change), 2011-16","18.998275"
"Full-service restaurants, 2011","154"
"Full-service restaurants, 2016","168"
"Full-service restaurants (% change), 2011-16","9.090909"
"Full-service restaurants/1,000 pop, 2011","0.570421"
"Full-service restaurants/1,000 pop, 2016","0.638492"
"Full-service restaurants/1,000 pop (% change), 2011-16","11.933442"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
