 
"State","IL"
"County","Stark"
"Fast-food restaurants, 2011","0"
"Fast-food restaurants, 2016","0"
"Fast-food restaurants (% change), 2011-16","0"
"Fast-food restaurants/1,000 pop, 2011","0"
"Fast-food restaurants/1,000 pop, 2016","0"
"Fast-food restaurants/1,000 pop (% change), 2011-16","0"
"Full-service restaurants, 2011","1"
"Full-service restaurants, 2016","2"
"Full-service restaurants (% change), 2011-16","100"
"Full-service restaurants/1,000 pop, 2011","0.171116"
"Full-service restaurants/1,000 pop, 2016","0.36324"
"Full-service restaurants/1,000 pop (% change), 2011-16","112.277515"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
