 
"State","IL"
"County","Stephenson"
"Fast-food restaurants, 2011","29"
"Fast-food restaurants, 2016","23"
"Fast-food restaurants (% change), 2011-16","-20.689655"
"Fast-food restaurants/1,000 pop, 2011","0.6129"
"Fast-food restaurants/1,000 pop, 2016","0.505051"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-17.596656"
"Full-service restaurants, 2011","36"
"Full-service restaurants, 2016","38"
"Full-service restaurants (% change), 2011-16","5.555556"
"Full-service restaurants/1,000 pop, 2011","0.760842"
"Full-service restaurants/1,000 pop, 2016","0.834431"
"Full-service restaurants/1,000 pop (% change), 2011-16","9.672083"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
