 
"State","IL"
"County","Tazewell"
"Fast-food restaurants, 2011","86"
"Fast-food restaurants, 2016","107"
"Fast-food restaurants (% change), 2011-16","24.418605"
"Fast-food restaurants/1,000 pop, 2011","0.63314"
"Fast-food restaurants/1,000 pop, 2016","0.798704"
"Fast-food restaurants/1,000 pop (% change), 2011-16","26.149749"
"Full-service restaurants, 2011","102"
"Full-service restaurants, 2016","96"
"Full-service restaurants (% change), 2011-16","-5.882353"
"Full-service restaurants/1,000 pop, 2011","0.750933"
"Full-service restaurants/1,000 pop, 2016","0.716594"
"Full-service restaurants/1,000 pop (% change), 2011-16","-4.572812"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
