 
"State","IL"
"County","Vermilion"
"Fast-food restaurants, 2011","44"
"Fast-food restaurants, 2016","46"
"Fast-food restaurants (% change), 2011-16","4.545455"
"Fast-food restaurants/1,000 pop, 2011","0.540547"
"Fast-food restaurants/1,000 pop, 2016","0.58554"
"Fast-food restaurants/1,000 pop (% change), 2011-16","8.323516"
"Full-service restaurants, 2011","45"
"Full-service restaurants, 2016","47"
"Full-service restaurants (% change), 2011-16","4.444444"
"Full-service restaurants/1,000 pop, 2011","0.552832"
"Full-service restaurants/1,000 pop, 2016","0.598269"
"Full-service restaurants/1,000 pop (% change), 2011-16","8.218856"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
