 
"State","IL"
"County","Wabash"
"Fast-food restaurants, 2011","9"
"Fast-food restaurants, 2016","9"
"Fast-food restaurants (% change), 2011-16","0"
"Fast-food restaurants/1,000 pop, 2011","0.763424"
"Fast-food restaurants/1,000 pop, 2016","0.781861"
"Fast-food restaurants/1,000 pop (% change), 2011-16","2.415081"
"Full-service restaurants, 2011","9"
"Full-service restaurants, 2016","5"
"Full-service restaurants (% change), 2011-16","-44.444444"
"Full-service restaurants/1,000 pop, 2011","0.763424"
"Full-service restaurants/1,000 pop, 2016","0.434367"
"Full-service restaurants/1,000 pop (% change), 2011-16","-43.102733"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
