 
"State","IL"
"County","Warren"
"Fast-food restaurants, 2011","7"
"Fast-food restaurants, 2016","8"
"Fast-food restaurants (% change), 2011-16","14.285714"
"Fast-food restaurants/1,000 pop, 2011","0.392531"
"Fast-food restaurants/1,000 pop, 2016","0.462241"
"Fast-food restaurants/1,000 pop (% change), 2011-16","17.759123"
"Full-service restaurants, 2011","12"
"Full-service restaurants, 2016","9"
"Full-service restaurants (% change), 2011-16","-25"
"Full-service restaurants/1,000 pop, 2011","0.67291"
"Full-service restaurants/1,000 pop, 2016","0.520021"
"Full-service restaurants/1,000 pop (% change), 2011-16","-22.720575"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
