 
"State","IL"
"County","Washington"
"Fast-food restaurants, 2011","7"
"Fast-food restaurants, 2016","9"
"Fast-food restaurants (% change), 2011-16","28.571429"
"Fast-food restaurants/1,000 pop, 2011","0.480307"
"Fast-food restaurants/1,000 pop, 2016","0.633357"
"Fast-food restaurants/1,000 pop (% change), 2011-16","31.864884"
"Full-service restaurants, 2011","11"
"Full-service restaurants, 2016","8"
"Full-service restaurants (% change), 2011-16","-27.272727"
"Full-service restaurants/1,000 pop, 2011","0.754769"
"Full-service restaurants/1,000 pop, 2016","0.562984"
"Full-service restaurants/1,000 pop (% change), 2011-16","-25.409763"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
