 
"State","IL"
"County","Wayne"
"Fast-food restaurants, 2011","7"
"Fast-food restaurants, 2016","6"
"Fast-food restaurants (% change), 2011-16","-14.285714"
"Fast-food restaurants/1,000 pop, 2011","0.420269"
"Fast-food restaurants/1,000 pop, 2016","0.362035"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-13.856445"
"Full-service restaurants, 2011","14"
"Full-service restaurants, 2016","15"
"Full-service restaurants (% change), 2011-16","7.142857"
"Full-service restaurants/1,000 pop, 2011","0.840538"
"Full-service restaurants/1,000 pop, 2016","0.905087"
"Full-service restaurants/1,000 pop (% change), 2011-16","7.679444"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
