 
"State","IL"
"County","White"
"Fast-food restaurants, 2011","9"
"Fast-food restaurants, 2016","9"
"Fast-food restaurants (% change), 2011-16","0"
"Fast-food restaurants/1,000 pop, 2011","0.616988"
"Fast-food restaurants/1,000 pop, 2016","0.638842"
"Fast-food restaurants/1,000 pop (% change), 2011-16","3.542022"
"Full-service restaurants, 2011","8"
"Full-service restaurants, 2016","14"
"Full-service restaurants (% change), 2011-16","75"
"Full-service restaurants/1,000 pop, 2011","0.548434"
"Full-service restaurants/1,000 pop, 2016","0.993754"
"Full-service restaurants/1,000 pop (% change), 2011-16","81.198538"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
