 
"State","IL"
"County","Whiteside"
"Fast-food restaurants, 2011","31"
"Fast-food restaurants, 2016","33"
"Fast-food restaurants (% change), 2011-16","6.451613"
"Fast-food restaurants/1,000 pop, 2011","0.531988"
"Fast-food restaurants/1,000 pop, 2016","0.583647"
"Fast-food restaurants/1,000 pop (% change), 2011-16","9.710624"
"Full-service restaurants, 2011","52"
"Full-service restaurants, 2016","50"
"Full-service restaurants (% change), 2011-16","-3.846154"
"Full-service restaurants/1,000 pop, 2011","0.892367"
"Full-service restaurants/1,000 pop, 2016","0.884314"
"Full-service restaurants/1,000 pop (% change), 2011-16","-0.902408"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
