 
"State","IL"
"County","Will"
"Fast-food restaurants, 2011","441"
"Fast-food restaurants, 2016","501"
"Fast-food restaurants (% change), 2011-16","13.605442"
"Fast-food restaurants/1,000 pop, 2011","0.647934"
"Fast-food restaurants/1,000 pop, 2016","0.72637"
"Fast-food restaurants/1,000 pop (% change), 2011-16","12.105595"
"Full-service restaurants, 2011","318"
"Full-service restaurants, 2016","340"
"Full-service restaurants (% change), 2011-16","6.918239"
"Full-service restaurants/1,000 pop, 2011","0.467218"
"Full-service restaurants/1,000 pop, 2016","0.492946"
"Full-service restaurants/1,000 pop (% change), 2011-16","5.506678"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
