 
"State","IL"
"County","Williamson"
"Fast-food restaurants, 2011","42"
"Fast-food restaurants, 2016","48"
"Fast-food restaurants (% change), 2011-16","14.285714"
"Fast-food restaurants/1,000 pop, 2011","0.629581"
"Fast-food restaurants/1,000 pop, 2016","0.709639"
"Fast-food restaurants/1,000 pop (% change), 2011-16","12.71606"
"Full-service restaurants, 2011","50"
"Full-service restaurants, 2016","53"
"Full-service restaurants (% change), 2011-16","6"
"Full-service restaurants/1,000 pop, 2011","0.749502"
"Full-service restaurants/1,000 pop, 2016","0.78356"
"Full-service restaurants/1,000 pop (% change), 2011-16","4.544145"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
