 
"State","IL"
"County","Winnebago"
"Fast-food restaurants, 2011","195"
"Fast-food restaurants, 2016","213"
"Fast-food restaurants (% change), 2011-16","9.230769"
"Fast-food restaurants/1,000 pop, 2011","0.664235"
"Fast-food restaurants/1,000 pop, 2016","0.744526"
"Fast-food restaurants/1,000 pop (% change), 2011-16","12.087841"
"Full-service restaurants, 2011","205"
"Full-service restaurants, 2016","209"
"Full-service restaurants (% change), 2011-16","1.95122"
"Full-service restaurants/1,000 pop, 2011","0.698298"
"Full-service restaurants/1,000 pop, 2016","0.730544"
"Full-service restaurants/1,000 pop (% change), 2011-16","4.617885"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
