 
"State","IL"
"County","Woodford"
"Fast-food restaurants, 2011","17"
"Fast-food restaurants, 2016","18"
"Fast-food restaurants (% change), 2011-16","5.882353"
"Fast-food restaurants/1,000 pop, 2011","0.437648"
"Fast-food restaurants/1,000 pop, 2016","0.462333"
"Fast-food restaurants/1,000 pop (% change), 2011-16","5.640308"
"Full-service restaurants, 2011","26"
"Full-service restaurants, 2016","21"
"Full-service restaurants (% change), 2011-16","-19.230769"
"Full-service restaurants/1,000 pop, 2011","0.669344"
"Full-service restaurants/1,000 pop, 2016","0.539388"
"Full-service restaurants/1,000 pop (% change), 2011-16","-19.415406"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, fast food, 2012*","608.732214"
"Expenditures per capita, restaurants, 2007*","646.259252"
"Expenditures per capita, restaurants, 2012*","697.649988"
