,FIPS,State,County,% Diabetic,Population,Year,Diabetic Population,Restaurant Count
0,17001.0,Illinois,Adams,9.0,67054.0,2011,6035.0,31
1,17003.0,Illinois,Alexander,11.0,7914.0,2011,871.0,0
2,17005.0,Illinois,Bond,9.0,18103.0,2011,1629.0,7
3,17007.0,Illinois,Boone,7.0,54020.0,2011,3781.0,26
4,17009.0,Illinois,Brown,8.0,6591.0,2011,527.0,2
5,17011.0,Illinois,Bureau,9.0,34699.0,2011,3123.0,9
6,17013.0,Illinois,Calhoun,10.0,5019.0,2011,502.0,1
7,17015.0,Illinois,Carroll,10.0,15749.0,2011,1575.0,11
8,17017.0,Illinois,Cass,9.0,13559.0,2011,1220.0,7
9,17019.0,Illinois,Champaign,7.0,195671.0,2011,13697.0,158
10,17021.0,Illinois,Christian,9.0,34253.0,2011,3083.0,17
11,17023.0,Illinois,Clark,9.0,16657.0,2011,1499.0,11
12,17025.0,Illinois,Clay,9.0,13538.0,2011,1218.0,8
13,17027.0,Illinois,Clinton,9.0,36368.0,2011,3273.0,21
14,17029.0,Illinois,Coles,7.0,52065.0,2011,3645.0,42
15,17031.0,Illinois,Cook,9.0,5287037.0,2011,475833.0,4106
16,17033.0,Illinois,Crawford,9.0,19433.0,2011,1749.0,9
17,17035.0,Illinois,Cumberland,9.0,10716.0,2011,964.0,3
18,17037.0,Illinois,DeKalb,7.0,107333.0,2011,7513.0,74
19,17039.0,Illinois,De Witt,9.0,16034.0,2011,1443.0,9
20,17041.0,Illinois,Douglas,9.0,19169.0,2011,1725.0,15
21,17043.0,Illinois,DuPage,8.0,932541.0,2011,74603.0,838
22,17045.0,Illinois,Edgar,10.0,18471.0,2011,1847.0,10
23,17047.0,Illinois,Edwards,9.0,6444.0,2011,580.0,7
24,17049.0,Illinois,Effingham,9.0,34424.0,2011,3098.0,35
25,17051.0,Illinois,Fayette,8.0,20935.0,2011,1675.0,9
26,17053.0,Illinois,Ford,9.0,13911.0,2011,1252.0,10
27,17055.0,Illinois,Franklin,10.0,39312.0,2011,3931.0,23
28,17057.0,Illinois,Fulton,9.0,36652.0,2011,3299.0,19
29,17059.0,Illinois,Gallatin,10.0,5705.0,2011,570.0,0
30,17061.0,Illinois,Greene,9.0,13567.0,2011,1221.0,5
31,17063.0,Illinois,Grundy,8.0,48421.0,2011,3874.0,33
32,17065.0,Illinois,Hamilton,10.0,8096.0,2011,810.0,6
33,17067.0,Illinois,Hancock,9.0,18359.0,2011,1652.0,8
34,17069.0,Illinois,Hardin,9.0,4358.0,2011,392.0,0
35,17071.0,Illinois,Henderson,10.0,7354.0,2011,735.0,1
36,17073.0,Illinois,Henry,9.0,49314.0,2011,4438.0,25
37,17075.0,Illinois,Iroquois,9.0,29690.0,2011,2672.0,23
38,17077.0,Illinois,Jackson,7.0,58103.0,2011,4067.0,36
39,17079.0,Illinois,Jasper,9.0,9530.0,2011,858.0,5
40,17081.0,Illinois,Jefferson,9.0,39944.0,2011,3595.0,23
41,17083.0,Illinois,Jersey,8.0,22549.0,2011,1804.0,11
42,17085.0,Illinois,Jo Daviess,9.0,21990.0,2011,1979.0,12
43,17087.0,Illinois,Johnson,8.0,13730.0,2011,1098.0,6
44,17089.0,Illinois,Kane,7.0,511892.0,2011,35832.0,321
45,17091.0,Illinois,Kankakee,9.0,113215.0,2011,10189.0,75
46,17093.0,Illinois,Kendall,6.0,104821.0,2011,6289.0,60
47,17095.0,Illinois,Knox,9.0,51648.0,2011,4648.0,36
48,17097.0,Illinois,Lake,8.0,712567.0,2011,57005.0,530
49,17099.0,Illinois,LaSalle,9.0,112498.0,2011,10125.0,67
50,17101.0,Illinois,Lawrence,9.0,16408.0,2011,1477.0,6
51,17103.0,Illinois,Lee,9.0,34919.0,2011,3143.0,18
52,17105.0,Illinois,Livingston,9.0,37777.0,2011,3400.0,21
53,17107.0,Illinois,Logan,8.0,29776.0,2011,2382.0,16
54,17109.0,Illinois,McDonough,8.0,32770.0,2011,2622.0,28
55,17111.0,Illinois,McHenry,7.0,320961.0,2011,22467.0,198
56,17113.0,Illinois,McLean,7.0,167699.0,2011,11739.0,111
57,17115.0,Illinois,Macon,9.0,108204.0,2011,9738.0,61
58,17117.0,Illinois,Macoupin,9.0,47774.0,2011,4300.0,22
59,17119.0,Illinois,Madison,9.0,268457.0,2011,24161.0,182
60,17121.0,Illinois,Marion,9.0,39008.0,2011,3511.0,26
61,17123.0,Illinois,Marshall,9.0,12702.0,2011,1143.0,5
62,17125.0,Illinois,Mason,9.0,14785.0,2011,1331.0,10
63,17127.0,Illinois,Massac,10.0,14970.0,2011,1497.0,7
64,17129.0,Illinois,Menard,8.0,12466.0,2011,997.0,2
