,County,Restaurant Count,Year,ZIP,FIPS,CountyName,St,Name,Lat,Long,Enc_ZIP,Pops,Area,PopDensity
0,Adams,31,2011,62376,17001,Adams,IL,62376 Ursa,40.163633,-90.975425,62301.0,0,0,0
1,Alexander,0,2011,62993,17003,Alexander,IL,62993 Unity,37.334611,-89.181001,62990.0,0,0,0
2,Bond,7,2011,62284,17005,Bond,IL,62284 Smithboro,39.027642,-89.269052,,0,0,0
3,Boone,26,2011,61065,17007,Boone,IL,61065 Poplar Grove,42.399403,-88.739276,,0,0,0
4,Brown,2,2011,62378,17009,Brown,IL,62378 Versailles,40.008266,-90.656159,,0,0,0
5,Bureau,9,2011,61421,17011,Bureau,IL,61421 Bradford,41.584869,-89.169986,61361.0,0,0,0
6,Calhoun,1,2011,62070,17013,Calhoun,IL,62070 Mozier,39.323875,-90.587092,,0,0,0
7,Carroll,11,2011,61285,17015,Carroll,IL,61285 Thomson,42.170672,-89.760521,,0,0,0
8,Cass,7,2011,62691,17017,Cass,IL,62691 Virginia,40.07576,-90.013822,62618.0,0,0,0
9,Champaign,158,2011,61880,17019,Champaign,IL,61880 Tolono,40.385695,-87.947779,61859.0,0,0,0
10,Christian,17,2011,62570,17021,Christian,IL,62570 Tovey,39.775858,-89.050053,62568.0,0,0,0
11,Clark,11,2011,62477,17023,Clark,IL,62477 West Union,39.458896,-87.568335,,0,0,0
12,Clay,8,2011,62899,17025,Clay,IL,62899 Xenia,38.767254,-88.356127,62434.0,0,0,0
13,Clinton,21,2011,62293,17027,Clinton,IL,62293 Trenton,38.628771,-89.263694,62801.0,0,0,0
14,Coles,42,2011,62440,17029,Coles,IL,62440 Lerna,39.66624,-88.021764,62440.0,0,0,0
15,Cook,4106,2011,60827,17031,Cook,IL,60827 Riverdale,42.138346,-87.544137,60666.0,0,0,0
16,Crawford,9,2011,62478,17033,Crawford,IL,62478 West York,39.157127,-87.61538,62454.0,0,0,0
17,Cumberland,3,2011,62469,17035,Cumberland,IL,62469 Trilla,39.346808,-88.129495,,0,0,0
18,DeKalb,74,2011,60556,17037,DeKalb,IL,60556 Waterman,42.097272,-88.621624,,0,0,0
19,De Witt,9,2011,61882,17039,De Witt,IL,61882 Weldon,40.253223,-88.642459,61727.0,0,0,0
20,Douglas,15,2011,61956,17041,Douglas,IL,61956 Villa Grove,39.863255,-87.993937,61919.0,0,0,0
21,DuPage,838,2011,60599,17043,DuPage,IL,60599 Fox Valley,41.982513,-87.928293,60540.0,0,0,0
22,Edgar,10,2011,61955,17045,Edgar,IL,61955 Vermilion,39.802897,-87.587655,61944.0,0,0,0
23,Edwards,7,2011,62844,17047,Edwards,IL,62844 Grayville,38.526574,-87.984974,,0,0,0
24,Effingham,35,2011,62473,17049,Effingham,IL,62473 Watson,39.188408,-88.380408,,0,0,0
25,Fayette,9,2011,62885,17051,Fayette,IL,62885 Shobonier,39.217601,-88.85172,62880.0,0,0,0
26,Ford,10,2011,61773,17053,Ford,IL,61773 Sibley,40.981586,-88.102759,60936.0,0,0,0
27,Franklin,23,2011,62999,17055,Franklin,IL,62999 Zeigler,38.092406,-88.742271,62896.0,0,0,0
28,Fulton,19,2011,61563,17057,Fulton,IL,61563 Saint David,40.695424,-90.003804,61531.0,0,0,0
29,Gallatin,0,2011,62984,17059,Gallatin,IL,62984 Shawneetown,37.869524,-88.171013,,0,0,0
30,Greene,5,2011,62098,17061,Greene,IL,62098 Wrights,39.485146,-90.210719,62092.0,0,0,0
31,Grundy,33,2011,60479,17063,Grundy,IL,60479 Verona,41.455162,-88.265169,60424.0,0,0,0
32,Hamilton,6,2011,62859,17065,Hamilton,IL,62859 MC Leansboro,38.207653,-88.457578,,0,0,0
33,Hancock,8,2011,62380,17067,Hancock,IL,62380 West Point,40.622927,-90.917696,62358.0,0,0,0
34,Hardin,0,2011,62982,17069,Hardin,IL,62982 Rosiclare,37.538369,-88.22342,,0,0,0
35,Henderson,1,2011,61480,17071,Henderson,IL,61480 Stronghurst,40.942471,-90.846239,,0,0,0
36,Henry,25,2011,61490,17073,Henry,IL,61490 Woodhull,41.521948,-89.914843,61434.0,0,0,0
37,Iroquois,23,2011,60974,17075,Iroquois,IL,60974 Woodland,40.994486,-87.559618,60970.0,0,0,0
38,Jackson,36,2011,62994,17077,Jackson,IL,62994 Vergennes,37.939771,-89.153117,62966.0,0,0,0
39,Jasper,5,2011,62481,17079,Jasper,IL,62481 Yale,39.16753,-88.022156,62480.0,0,0,0
40,Jefferson,23,2011,62898,17081,Jefferson,IL,62898 Woodlawn,38.467172,-88.760436,,0,0,0
41,Jersey,11,2011,62054,17083,Jersey,IL,62054 Kane,39.188802,-90.155788,,0,0,0
42,Johnson,6,2011,62995,17087,Johnson,IL,62995 Vienna,37.581137,-88.760657,62923.0,0,0,0
43,Jo Daviess,12,2011,61087,17085,Jo Daviess,IL,61087 Warren,42.48579,-89.944824,61087.0,0,0,0
44,Kane,321,2011,60598,17089,Kane,IL,60598 Aurora,42.123256,-88.266889,60505.0,0,0,0
45,Kankakee,75,2011,60969,17091,Kankakee,IL,60969 Union Hill,41.25064,-87.620108,60964.0,0,0,0
46,Kendall,60,2011,60560,17093,Kendall,IL,60560 Yorkville,41.717984,-88.334551,60541.0,0,0,0
47,Knox,36,2011,61572,17095,Knox,IL,61572 Yates City,41.114206,-90.003831,61448.0,0,0,0
48,Lake,530,2011,60099,17097,Lake,IL,60099 Zion,42.49041,-87.802025,60099.0,0,0,0
49,LaSalle,67,2011,61373,17099,La Salle,IL,61373 Utica,41.601913,-88.613667,61370.0,0,0,0
50,Lawrence,6,2011,62466,17101,Lawrence,IL,62466 Sumner,38.728657,-87.681495,,0,0,0
51,Lee,18,2011,61378,17103,Lee,IL,61378 West Brooklyn,41.852835,-88.961513,61310.0,0,0,0
52,Livingston,21,2011,61775,17105,Livingston,IL,61775 Strawn,41.094036,-88.267585,60420.0,0,0,0
53,Logan,16,2011,62671,17107,Logan,IL,62671 New Holland,40.289524,-89.161488,62656.0,0,0,0
54,Macon,61,2011,62573,17115,Macon,IL,62573 Warrensburg,40.039194,-88.803973,62526.0,0,0,0
55,Macoupin,22,2011,62690,17117,Macoupin,IL,62690 Virden,39.502304,-89.726601,62069.0,0,0,0
56,Madison,182,2011,62294,17119,Madison,IL,62294 Troy,38.982179,-89.598242,62275.0,0,0,0
57,Marion,26,2011,62892,17121,Marion,IL,62892 Vernon,38.817022,-88.760731,,0,0,0
58,Marshall,5,2011,61565,17123,Marshall,IL,61565 Sparland,41.109821,-89.048437,61421.0,0,0,0
59,Mason,10,2011,62682,17125,Mason,IL,62682 San Jose,40.376385,-89.628651,,0,0,0
60,Massac,7,2011,62960,17127,Massac,IL,62960 Metropolis,37.296361,-88.587151,,0,0,0
61,McDonough,28,2011,62326,17109,McDonough,IL,62326 Colchester,40.616264,-90.465189,61455.0,0,0,0
62,McHenry,198,2011,60297,17111,McHenry,IL,60297 McHenry,42.470726,-88.203314,60050.0,0,0,0
63,McLean,111,2011,61799,17113,McLean,IL,61799 Bloomington,40.742824,-88.497647,61761.0,0,0,0
64,Menard,2,2011,62688,17129,Menard,IL,62688 Tallula,40.083188,-89.723984,62675.0,0,0,0
65,Mercer,6,2011,61486,17131,Mercer,IL,61486 Viola,41.317894,-90.478601,61281.0,0,0,0
66,Monroe,17,2011,62298,17133,Monroe,IL,62298 Waterloo,38.442362,-89.994825,62277.0,0,0,0
67,Montgomery,19,2011,62572,17135,Montgomery,IL,62572 Waggoner,39.443564,-89.162091,62075.0,0,0,0
68,Morgan,23,2011,62695,17137,Morgan,IL,62695 Woodson,39.851707,-89.954955,62650.0,0,0,0
69,Moultrie,3,2011,61951,17139,Moultrie,IL,61951 Sullivan,39.728904,-88.496654,,0,0,0
70,Ogle,29,2011,61091,17141,Ogle,IL,61091 Woosung,42.153065,-88.949483,61068.0,0,0,0
71,Peoria,116,2011,61656,17143,Peoria,IL,61656 Peoria,40.945794,-89.502597,61615.0,0,0,0
72,Perry,5,2011,63673,29157,Perry,IL,63673 Saint Mary,38.138408,-89.228906,,0,0,0
73,Piatt,5,2011,61936,17147,Piatt,IL,61936 La Place,40.207082,-88.484268,61818.0,0,0,0
74,Pike,7,2011,62370,17149,Pike,IL,62370 Rockport,39.799884,-90.636452,,0,0,0
75,Pope,0,2011,62938,17151,Pope,IL,62938 Golconda,37.505113,-88.586594,,0,0,0
76,Pulaski,2,2011,62996,17153,Pulaski,IL,62996 Villa Ridge,37.31006,-88.933525,62992.0,0,0,0
